episode,total_reward,steps,epsilon,success,grid_size,obstacle_ratio_max,blind_ratio,success_rate,path_len,blind_step_ratio,shortest_path_ratio
230,222.99999999999997,20,0.05,1,50,0.07,0.03,0.6782608695652174,21,0.0,2.625
231,-78.00000000000003,41,0.05,0,50,0.07,0.03,0.6753246753246753,41,0.0,1.5769230769230769
232,19.79999999999768,485,0.05,0,50,0.07,0.03,0.6724137931034483,485,0.0,8.660714285714286
233,-33.449999999998994,370,0.05,0,50,0.07,0.03,0.6695278969957081,370,0.005405405405405406,8.80952380952381
234,215.54999999999998,109,0.05,1,50,0.07,0.03,0.6709401709401709,110,0.0,15.714285714285714
235,-100,1,0.05,0,50,0.07,0.03,0.6680851063829787,1,0.0,0.034482758620689655
236,-48.749999999999716,116,0.05,0,50,0.07,0.03,0.6652542372881356,116,0.0,4.142857142857143
237,267.65000000000003,27,0.05,1,50,0.07,0.03,0.6666666666666666,28,0.0,1.2173913043478262
238,-104.24999999999997,146,0.05,0,50,0.07,0.03,0.6638655462184874,146,0.0,6.083333333333333
239,-94.95000000000002,80,0.05,0,50,0.07,0.03,0.6610878661087866,80,0.0,5.714285714285714
240,-55.89999999999988,79,0.05,0,50,0.07,0.03,0.6583333333333333,79,0.0,4.647058823529412
241,379.54999999999905,149,0.05,1,50,0.07,0.03,0.6597510373443983,150,0.013333333333333334,2.1739130434782608
242,197.54999999999978,749,0.05,1,50,0.07,0.03,0.6611570247933884,750,0.0013333333333333333,50.0
243,-32.349999999999625,148,0.05,0,50,0.07,0.03,0.6584362139917695,148,0.0,5.285714285714286
244,306.75000000000017,85,0.05,1,50,0.07,0.03,0.6598360655737705,86,0.0,2.324324324324324
245,331.3500000000002,113,0.05,1,50,0.07,0.03,0.6612244897959184,114,0.008771929824561403,2.326530612244898
246,332.35000000000014,93,0.05,1,50,0.07,0.03,0.6626016260162602,94,0.010638297872340425,1.9183673469387754
247,297.80000000000007,44,0.05,1,50,0.07,0.03,0.6639676113360324,45,0.044444444444444446,1.125
248,314.3000000000003,114,0.05,1,50,0.07,0.03,0.6653225806451613,115,0.0,2.875
249,316.10000000000014,78,0.05,1,50,0.07,0.03,0.6666666666666666,79,0.0,1.975
250,-71.05000000000005,122,0.05,0,50,0.07,0.03,0.664,122,0.00819672131147541,4.518518518518518
